"","SN","TN","trial_type","RT","MT","tgt_jump","tgt_jump_size","tgt_error","clamp","clamp_size","Hand","Hand_raw","Exp","Hand_dt","RT_dt"
"1",1,1,0,3915.97576904297,772,0,0,0,1,0,-0.469298659638326,-0.469298659638326,"Supp1",0,0
"2",1,2,0,NA,559,0,0,0,1,0,-1.14031404380523,-1.14031404380523,"Supp1",-0.335507692083452,NA
"3",1,3,0,NA,375,0,0,0,1,0,-1.48494668903623,-1.48494668903623,"Supp1",-0.453426891542968,NA
"4",1,4,0,NA,382,0,0,0,1,0,2.45834641331915,2.45834641331915,"Supp1",2.61739965810931,NA
"5",1,5,0,NA,395,0,0,0,1,0,-7.61633508611189,-7.61633508611189,"Supp1",-5.96582547305738,NA
"6",1,6,0,266.978607177734,353,0,0,0,1,0,1.38250784221229,1.38250784221229,"Supp1",2.66265615489667,-1824.49858093262
"7",1,7,0,311.978630065918,320,0,0,0,1,0,1.44052623257352,1.44052623257352,"Supp1",2.20450648998215,-1186.33237202962
"8",1,8,0,368.978591918945,418,0,0,0,1,0,-2.04758896658149,-2.04758896658149,"Supp1",-1.17108025366381,-846.999307632447
"9",1,9,0,254.978569030762,283,0,0,0,1,0,2.93562838945671,2.93562838945671,"Supp1",3.71668070714688,-768.799464416504
"10",1,10,0,243.978569030762,322,0,0,0,1,0,-1.49648696956774,-1.49648696956774,"Supp1",-1.9394042751864,-45.4000244140622
"11",1,11,0,251.978584289551,311,0,0,0,1,0,2.58235079011365,2.58235079011365,"Supp1",1.89946489491472,-34.4000045776366
"12",1,12,0,273.978675842285,336,0,0,0,1,0,0.206672482274712,0.206672482274712,"Supp1",-0.229442662864456,-4.799922180176
"13",1,13,0,267.978507995605,1119,0,0,0,1,0,-0.766501356492142,-0.766501356492142,"Supp1",-1.45883402364918,9.39992675781201
"14",1,14,0,322.978630065918,303,0,0,0,1,0,-2.45274635237803,-2.45274635237803,"Supp1",-2.06740407116812,50.8000366210938
"15",1,15,0,256.978607177734,344,0,0,0,1,0,-4.47453592688919,-4.47453592688919,"Supp1",-3.49358385421499,-17.7999938964846
"16",1,16,0,180.978584289551,329,0,0,0,1,0,-0.177168275216729,-0.177168275216729,"Supp1",1.35568761052355,-79.6000167846676
"17",1,17,0,60.9786987304688,364,0,0,0,1,0,-0.331153615990871,-0.331153615990871,"Supp1",1.30926748940252,-156.999906921387
"18",1,18,0,292.978492736816,744,0,0,0,1,0,6.35416372779237,6.35416372779237,"Supp1",6.57045181632886,69.9998901367184
"19",1,19,0,227.978660583496,328,0,0,0,1,0,-1.56561198736276,-1.56561198736276,"Supp1",-1.52675077182932,24.0000518798828
"20",1,20,0,232.978561401367,363,0,0,0,1,0,-1.98877898552368,-1.98877898552368,"Supp1",-2.44706915826335,33.7999618530272
"21",1,21,0,270.978591918945,262,0,0,0,1,0,-0.87844746836187,-0.87844746836187,"Supp1",-1.19648180247251,53.7999908447265
"22",1,22,0,72.9785995483398,305,0,0,0,1,0,0.240038870733471,0.240038870733471,"Supp1",-0.192233960722035,-146.599981689453
"23",1,23,0,335.978256225586,268,0,0,0,1,0,2.80701461044509,2.80701461044509,"Supp1",3.08417160245904,107.799722290039
"24",1,24,0,275.978569030762,332,0,0,0,1,0,-1.47944435724754,-1.47944435724754,"Supp1",-1.21952089125663,38.200053405762
"25",1,25,0,277.978591918945,301,0,0,0,1,0,0.704588012859332,0.704588012859332,"Supp1",0.425838079173635,31.2000701904295
"26",1,26,0,235.978607177734,292,0,0,0,1,0,0.355380997151812,0.355380997151812,"Supp1",-0.170134629636621,-3.79991760253935
"27",1,27,0,-12.0214538574219,416,0,0,0,1,0,0.615429191660425,0.615429191660425,"Supp1",0.0148355006866011,-234.799967956543
"28",1,28,0,556.978672027588,298,0,0,0,1,0,-1.43043422125491,-1.43043422125491,"Supp1",-1.18353814588873,290.000074768067
"29",1,29,0,310.978607177734,312,0,0,0,1,0,-2.92895331328847,-2.92895331328847,"Supp1",-2.39215544671411,37.0000022888182
